cluster,query,demand,priority,intent,landing,note
07_спа_программы,обертывание Иваново спа,СЧ,P1,коммерческий,/spa-programmy/,
07_спа_программы,скраб тела Иваново,СЧ,P2,коммерческий,/spa-programmy/,
07_спа_программы,пилинг тела Иваново спа,НЧ,P2,коммерческий,/spa-programmy/,
08_спа_именные_мужчины,энергия будды спа Иваново,НЧ,P2,коммерческий,/spa-programmy/energiya-buddy/,Мужской сегмент ~30%
08_спа_именные_мужчины,спа программа пина колада Иваново,НЧ,P3,коммерческий,/spa-programmy/pina-kolada/,Мужской сегмент ~30%
08_спа_именные_мужчины,спа крем брюле Иваново,НЧ,P3,коммерческий,/spa-programmy/krem-bryule/,Мужской сегмент ~30%
08_спа_именные_мужчины,спа для мужчин Иваново,СЧ,P1,коммерческий,/spa-programmy/relax-man/,Мужской сегмент ~30%
08_спа_именные_мужчины,массаж для мужчин Иваново,СЧ,P1,коммерческий,/spa-programmy/pattaya-man/,Мужской сегмент ~30%
08_спа_именные_мужчины,мужской спа Иваново,НЧ,P1,коммерческий,/spa-programmy/relax-man/,Мужской сегмент ~30%
08_спа_именные_мужчины,pattaya vip спа,НЧ,P3,коммерческий,/spa-programmy/pattaya-vip/,Мужской сегмент ~30%
08_спа_именные_мужчины,спа обертывание Иваново,СЧ,P1,коммерческий,/spa-programmy/obyortyvanie-loson/,Мужской сегмент ~30%
09_для_двоих,спа для двоих Иваново,ВЧ,P1,коммерческий,/spa-dlya-dvoih/,Сильный коммерческий кластер у конкурентов
09_для_двоих,массаж для двоих Иваново,ВЧ,P1,коммерческий,/spa-dlya-dvoih/,Сильный коммерческий кластер у конкурентов
09_для_двоих,парный массаж Иваново,СЧ,P1,коммерческий,/spa-dlya-dvoih/,Сильный коммерческий кластер у конкурентов
09_для_двоих,массаж для пары Иваново,СЧ,P1,коммерческий,/spa-dlya-dvoih/,Сильный коммерческий кластер у конкурентов
09_для_двоих,романтический спа Иваново,НЧ,P1,коммерческий,/spa-dlya-dvoih/romanticheskoe-puteshestvie/,Сильный коммерческий кластер у конкурентов
09_для_двоих,свидание спа Иваново,НЧ,P2,коммерческий,/spa-dlya-dvoih/,Сильный коммерческий кластер у конкурентов
09_для_двоих,спа программа ты и я Иваново,НЧ,P3,коммерческий,/spa-dlya-dvoih/ty-i-ya/,Сильный коммерческий кластер у конкурентов
10_девичник,спа девичник Иваново,СЧ,P1,коммерческий,/spa-devichnik/,"Не в шапке, но отдельная посадочная"
10_девичник,девичник в спа Иваново,СЧ,P1,коммерческий,/spa-devichnik/,"Не в шапке, но отдельная посадочная"
10_девичник,девичник массаж Иваново,НЧ,P1,коммерческий,/spa-devichnik/,"Не в шапке, но отдельная посадочная"
10_девичник,девичник для подруг Иваново спа,НЧ,P2,коммерческий,/spa-devichnik/,"Не в шапке, но отдельная посадочная"
10_девичник,спа на компанию Иваново,НЧ,P2,коммерческий,/spa-devichnik/,"Не в шапке, но отдельная посадочная"
11_сертификаты_абонементы,подарочный сертификат массаж Иваново,ВЧ,P1,коммерческий,/podarochnye-sertifikaty/,"Сезон: 8 марта, НГ, ДР"
11_сертификаты_абонементы,сертификат в спа Иваново,СЧ,P1,коммерческий,/podarochnye-sertifikaty/,"Сезон: 8 марта, НГ, ДР"
11_сертификаты_абонементы,подарочный сертификат спа Иваново,СЧ,P1,коммерческий,/podarochnye-sertifikaty/,"Сезон: 8 марта, НГ, ДР"
11_сертификаты_абонементы,сертификат на массаж Иваново,СЧ,P1,коммерческий,/podarochnye-sertifikaty/,"Сезон: 8 марта, НГ, ДР"
11_сертификаты_абонементы,купить сертификат массаж Иваново,НЧ,P1,коммерческий,/podarochnye-sertifikaty/,"Сезон: 8 марта, НГ, ДР"
11_сертификаты_абонементы,абонемент на массаж Иваново,СЧ,P1,коммерческий,/abonementy/,"Сезон: 8 марта, НГ, ДР"
11_сертификаты_абонементы,абонемент массаж Иваново цены,НЧ,P1,коммерческий,/abonementy/,"Сезон: 8 марта, НГ, ДР"
11_сертификаты_абонементы,курс массажа абонемент Иваново,НЧ,P2,коммерческий,/abonementy/,"Сезон: 8 марта, НГ, ДР"
12_область_гео,массаж Ивановская область,НЧ,P2,коммерческий,/,"Одна точка — аккуратно, без ложных филиалов"
12_область_гео,спа Иваново Кохма,НЧ,P2,коммерческий,/,"Одна точка — аккуратно, без ложных филиалов"
12_область_гео,массаж Шуя,НЧ,P3,коммерческий,/,"Одна точка — аккуратно, без ложных филиалов"
12_область_гео,тайский массаж Кохма,НЧ,P3,коммерческий,/,"Одна точка — аккуратно, без ложных филиалов"
13_бренд,паттайя массаж Иваново,НЧ,P1,навигационный,/,Защита бренда; путаница с городом Паттайя
13_бренд,спа паттайя Иваново,НЧ,P1,навигационный,/,Защита бренда; путаница с городом Паттайя
13_бренд,pattaya massage Иваново,НЧ,P2,навигационный,/,Защита бренда; путаница с городом Паттайя
13_бренд,паттайя Батурина 23,НЧ,P1,навигационный,/,Защита бренда; путаница с городом Паттайя
14_цены_контакты,цены на массаж Иваново,СЧ,P1,коммерческий,/ceny/,
14_цены_контакты,прайс массаж Иваново,НЧ,P1,коммерческий,/ceny/,
14_цены_контакты,спа салон Иваново адрес,НЧ,P1,коммерческий,/kontakty/,
14_цены_контакты,массаж Батурина 23,НЧ,P1,коммерческий,/kontakty/,
15_софт_инфо,чем отличается тайский ойл массаж,НЧ,P3,информационный,/,Блоки FAQ / гиды — без мед.claims
15_софт_инфо,что взять с собой в спа салон,НЧ,P3,информационный,/,Блоки FAQ / гиды — без мед.claims
15_софт_инфо,можно ли в спа вдвоем,НЧ,P3,информационный,/,Блоки FAQ / гиды — без мед.claims
15_софт_инфо,как выбрать спа программу,НЧ,P3,информационный,/,Блоки FAQ / гиды — без мед.claims
01_массаж_категория,массаж Иваново рядом,НЧ,P2,коммерческий,/,гео+локаль
01_массаж_категория,массажный кабинет Иваново,СЧ,P2,коммерческий,/massazh/,
01_массаж_категория,релакс массаж Иваново,СЧ,P1,коммерческий,/massazh/,
01_массаж_категория,расслабляющий массаж Иваново,СЧ,P1,коммерческий,/massazh/,
02_спа_категория,спа массаж Иваново,ВЧ,P1,коммерческий,/,мост массаж↔спа
02_спа_категория,тайский спа Иваново,СЧ,P1,коммерческий,/spa-programmy/,
02_спа_категория,spa Иваново цены,СЧ,P1,коммерческий,/ceny/,
03_тайский_ойл,традиционный тайский массаж Иваново,СЧ,P2,коммерческий,/massazh/tayskiy-oyl-massazh/,у конкурентов сильнее «традиционный»; у нас ойл
03_тайский_ойл,тайский массаж маслом Иваново,НЧ,P1,коммерческий,/massazh/tayskiy-oyl-massazh/,
04_массаж_зоны,массаж шейно воротниковой зоны Иваново,СЧ,P1,коммерческий,/massazh/massazh-spiny-i-plech/,
04_массаж_зоны,массаж плеч Иваново,НЧ,P2,коммерческий,/massazh/massazh-spiny-i-plech/,
04_массаж_зоны,массаж лица и головы Иваново,НЧ,P2,коммерческий,/massazh/massazh-litsa/,
05_массаж_фигура_спорт,лимфодренаж Иваново,СЧ,P1,коммерческий,/massazh/limfodrenazhnyy-massazh/,
05_массаж_фигура_спорт,антицеллюлитный массаж Иваново цены,НЧ,P1,коммерческий,/massazh/antitsellyulitnyy-massazh/,
06_массаж_авторский,стоунтерапия Иваново,СЧ,P1,коммерческий,/massazh/massazh-goryachimi-kamnyami/,
06_массаж_авторский,массаж бамбуком Иваново,НЧ,P3,коммерческий,/massazh/,если нет услуги — не использовать
07_спа_программы,спа программа Иваново цены,СЧ,P1,коммерческий,/spa-programmy/,
07_спа_программы,шоколадное обертывание Иваново,НЧ,P2,коммерческий,/spa-programmy/,
07_спа_программы,винное обертывание Иваново,НЧ,P2,коммерческий,/spa-programmy/terpkoye-vino/,
07_спа_программы,спа франжипани Иваново,НЧ,P3,коммерческий,/spa-programmy/solnechnyy-frandzhipani/,
07_спа_программы,клюквенный спа Иваново,НЧ,P3,коммерческий,/spa-programmy/klyukvennyy-miks/,
08_спа_именные_мужчины,массаж для мужчин Иваново цены,НЧ,P1,коммерческий,/spa-programmy/pattaya-man/,
08_спа_именные_мужчины,relax man спа Иваново,НЧ,P2,коммерческий,/spa-programmy/relax-man/,
09_для_двоих,спа свидание Иваново,НЧ,P1,коммерческий,/spa-dlya-dvoih/,
09_для_двоих,массаж вдвоем Иваново,СЧ,P1,коммерческий,/spa-dlya-dvoih/,
09_для_двоих,парный спа Иваново,НЧ,P1,коммерческий,/spa-dlya-dvoih/,
09_для_двоих,романтика спа Иваново,НЧ,P2,коммерческий,/spa-dlya-dvoih/romanticheskoe-puteshestvie/,
09_для_двоих,эдем для двоих спа,НЧ,P3,коммерческий,/spa-dlya-dvoih/edem-dlya-dvoih/,
10_девичник,девичник невесты спа Иваново,НЧ,P2,коммерческий,/spa-devichnik/,
10_девичник,спа для подруг Иваново,НЧ,P1,коммерческий,/spa-devichnik/,
11_сертификаты_абонементы,подарок сертификат спа Иваново,СЧ,P1,коммерческий,/podarochnye-sertifikaty/,
11_сертификаты_абонементы,сертификат на спа Иваново,СЧ,P1,коммерческий,/podarochnye-sertifikaty/,
11_сертификаты_абонементы,электронный сертификат массаж Иваново,НЧ,P2,коммерческий,/podarochnye-sertifikaty/,если появится e-сертификат
11_сертификаты_абонементы,абонемент тайский массаж Иваново,НЧ,P1,коммерческий,/abonementy/,
12_область_гео,массаж Иваново область,НЧ,P2,коммерческий,/,
12_область_гео,спа салон Иваново область,НЧ,P2,коммерческий,/,
13_бренд,салон паттайя Иваново,НЧ,P1,навигационный,/,
13_бренд,паттайя спа Батурина,НЧ,P1,навигационный,/kontakty/,
14_цены_контакты,сколько стоит массаж Иваново,СЧ,P1,коммерческий,/ceny/,
14_цены_контакты,стоимость тайского массажа Иваново,СЧ,P1,коммерческий,/ceny/,
14_цены_контакты,спа Иваново телефон,НЧ,P1,коммерческий,/kontakty/,
14_цены_контакты,массаж Иваново режим работы,НЧ,P2,коммерческий,/kontakty/,
15_софт_инфо,что такое ойл массаж,НЧ,P3,информационный,/massazh/tayskiy-oyl-massazh/,
15_софт_инфо,чем полезен массаж горячими камнями,НЧ,P3,информационный,/massazh/massazh-goryachimi-kamnyami/,без мед.claims
15_софт_инфо,как проходит спа девичник,НЧ,P3,информационный,/spa-devichnik/,
15_софт_инфо,что подарить на спа Иваново,НЧ,P2,информационный,/podarochnye-sertifikaty/,
01_массаж_категория,массаж Иваново 60 минут,НЧ,P2,коммерческий,/ceny/,
01_массаж_категория,массаж Иваново 90 минут,НЧ,P2,коммерческий,/ceny/,
02_спа_категория,дневной спа Иваново,НЧ,P2,коммерческий,/spa-programmy/,
09_для_двоих,подарок парный массаж Иваново,НЧ,P1,коммерческий,/spa-dlya-dvoih/,
